airport,carrier,dep_delay
JFK,RU,5.06730065838
JFK,UA,5.96832536487
JFK,CO,8.20120808165
JFK,DH,8.74298090807
JFK,AA,10.0824367451
JFK,B6,11.1270962227
JFK,PA,11.5265213442
JFK,NW,11.6378177165
JFK,DL,11.9867913583
JFK,AL,12.4135490394
SEA,OO,2.70581965466
SEA,PS,4.72063933287
SEA,YV,5.12226277372
SEA,AL,6.01471571906
SEA,TZ,6.34500393391
SEA,US,6.43266197111
SEA,NW,6.49876240739
SEA,DL,6.53599823636
SEA,HA,6.8554526749
SEA,AA,6.94025364474
BOS,RU,2.12059369202
BOS,TZ,3.06379208506
BOS,PA,4.44716479505
BOS,ML,5.73477564103
BOS,EV,7.20813771518
BOS,NW,7.24518878651
BOS,DL,7.44544898813
BOS,AL,8.62370894203
BOS,US,8.68941529793
BOS,AA,8.73400508165
CMH,DH,3.49111470113
CMH,AA,3.51564734686
CMH,NW,4.04155500526
CMH,ML,4.36645962733
CMH,DL,4.71344133974
CMH,PI,5.20129487934
CMH,EA,5.93738938053
CMH,US,5.99299168147
CMH,AL,6.02097013345
CMH,RU,6.10234585842
SRQ,TZ,-0.381996974281
SRQ,RU,-0.0880330123796
SRQ,YV,3.40402193784
SRQ,AA,3.64747274529
SRQ,UA,3.95212206243
SRQ,US,3.96839828967
SRQ,TW,4.30467606502
SRQ,NW,4.85635924135
SRQ,DL,4.86917943416
SRQ,XE,5.03554868624
